,Bigram,Frequency
2381,"('yeah', 'trying')",6
2382,"('wait', 'minute')",6
2383,"('shes', 'room')",6
2384,"('room', 'room')",6
2385,"('okay', 'actually')",6
2386,"('time', 'im')",6
2387,"('sure', 'whats')",6
2388,"('old', 'patient')",6
2389,"('happened', 'mom')",6
2390,"('center', 'ohio')",6
2391,"('lets', 'address')",6
2392,"('recently', 'anything')",6
2393,"('awake', 'yeah')",6
2394,"('breathe', 'right')",6
2395,"('alright', 'bye')",6
2396,"('injured', 'shes')",6
2397,"('guys', 'come')",6
2398,"('youre', 'like')",6
2399,"('911', 'yes')",6
2400,"('yeah', 'absolutely')",6
2401,"('door', 'come')",6
2402,"('questions', 'ok')",6
2403,"('anything', 'unless')",6
2404,"('way', 'old')",6
2405,"('help', 'said')",6
2406,"('bye', 'right')",6
2407,"('shes', 'hurt')",6
2408,"('curtis', 'street')",6
2409,"('yes', 'would')",6
2410,"('ask', 'ok')",6
2411,"('okay', 'please')",6
2412,"('please', 'yeah')",6
2413,"('door', 'going')",6
2414,"('come', 'around')",6
2415,"('right', 'let')",6
2416,"('know', 'approximately')",6
2417,"('honey', 'hes')",6
2418,"('im', 'scared')",6
2419,"('im', 'hearing')",6
2420,"('heritage', 'boulevard')",6
2421,"('im', 'showing')",6
2422,"('one', 'moment')",6
2423,"('911', 'location')",6
2424,"('getting', 'okay')",6
2425,"('alright', 'anything')",6
2426,"('name', 'michael')",6
2427,"('went', 'ahead')",6
2428,"('drive', 'anything')",6
2429,"('im', 'front')",6
2430,"('high', 'school')",6
2431,"('eyes', 'open')",6
2432,"('hes', 'im')",6
2433,"('8144', 'highfield')",6
2434,"('right', 'want')",6
2435,"('theyll', 'come')",6
2436,"('hes', 'standing')",6
2437,"('taking', 'blood')",6
2438,"('yeah', '911')",6
2439,"('im', 'coming')",6
2440,"('shes', 'gon')",6
2441,"('doctors', 'quarantine')",6
2442,"('fell', 'backwards')",6
2443,"('back', 'like')",6
2444,"('acting', 'little')",6
2445,"('doesnt', 'need')",6
2446,"('able', 'follow')",6
2447,"('oh', 'one')",6
2448,"('honey', 'okay')",6
2449,"('okay', 'try')",6
2450,"('try', 'give')",6
2451,"('grab', 'list')",6
2452,"('call', 'ambulance')",6
2453,"('house', 'like')",6
2454,"('look', 'look')",6
2455,"('hear', 'yes')",6
2456,"('said', 'theyre')",6
2457,"('two', 'years')",6
2458,"('heart', 'surgery')",6
2459,"('prior', 'becoming')",6
2460,"('okay', 'experiencing')",6
2461,"('breathing', 'difficulty')",6
2462,"('need', 'put')",6
2463,"('ok', 'much')",6
2464,"('ok', 'name')",6
2465,"('able', 'go')",6
2466,"('get', 'hold')",6
2467,"('make', 'sense')",6
2468,"('complaining', 'anything')",6
2469,"('like', 'theres')",6
2470,"('things', 'okay')",6
2471,"('breathe', 'hurt')",6
2472,"('comfortably', 'okay')",6
2473,"('bed', 'hes')",6
2474,"('shortly', 'anything')",6
2475,"('chair', 'right')",6
2476,"('80', 'years')",6
2477,"('yes', 'wife')",6
2478,"('paramedics', 'get')",6
2479,"('okay', 'really')",6
2480,"('scared', 'okay')",6
2481,"('anything', 'gets')",6
2482,"('number', 'name')",6
2483,"('need', 'transported')",6
2484,"('memory', 'care')",6
2485,"('fell', 'standing')",6
2486,"('go', 'dont')",6
2487,"('im', 'ready')",6
2488,"('uh', 'okay')",6
2489,"('theres', 'big')",6
2490,"('know', 'well')",6
2491,"('im', 'good')",6
2492,"('one', 'residents')",6
2493,"('chris', 'okay')",6
2494,"('like', 'hour')",6
2495,"('anyone', 'else')",6
2496,"('breathing', 'anyone')",6
2497,"('shes', '80')",6
2498,"('way', 'theyll')",6
2499,"('hurts', 'breathe')",6
2500,"('want', 'leave')",6
2501,"('kids', 'okay')",6
2502,"('shes', 'walking')",6
2503,"('line', 'get')",6
2504,"('theyd', 'appreciate')",6
2505,"('covid', 'anyone')",6
2506,"('didnt', 'see')",6
2507,"('yeah', 'theres')",6
2508,"('theres', 'anything')",6
2509,"('something', 'else')",6
2510,"('running', 'fever')",6
2511,"('name', 'uh')",6
2512,"('100', 'sure')",6
2513,"('willowbrook', 'christian')",6
2514,"('like', 'oh')",6
2515,"('well', 'keep')",6
2516,"('sawmill', 'parkway')",6
2517,"('fell', 'floor')",6
2518,"('thank', 'uhhuh')",6
2519,"('perfect', 'thank')",6
2520,"('yes', 'oh')",6
2521,"('real', 'weak')",6
2522,"('get', 'really')",6
2523,"('uhhuh', 'okay')",6
2524,"('oh', 'shes')",6
2525,"('going', 'youre')",6
2526,"('like', 'one')",6
2527,"('something', 'okay')",6
2528,"('shes', 'probably')",6
2529,"('let', 'okay')",6
2530,"('says', 'doesnt')",6
2531,"('thank', 'oh')",6
2532,"('emergency', 'emergency')",6
2533,"('side', 'building')",6
2534,"('shes', 'lot')",6
2535,"('questions', 'partner')",6
2536,"('okay', 'somebody')",6
2537,"('old', 'yeah')",6
2538,"('ha', 'ha')",6
2539,"('five', 'six')",6
2540,"('id', 'say')",6
2541,"('covid', 'residence')",6
2542,"('well', 'youre')",6
2543,"('list', 'okay')",6
2544,"('case', 'need')",6
2545,"('diabetic', 'gather')",5
2546,"('wanted', 'call')",5
2547,"('road', 'anything')",5
2548,"('medics', 'anything')",5
2549,"('said', 'okay')",5
2550,"('started', 'acting')",5
2551,"('hes', 'left')",5
2552,"('symptoms', 'right')",5
2553,"('start', 'today')",5
2554,"('yeah', 'take')",5
2555,"('im', 'standing')",5
2556,"('still', 'hes')",5
2557,"('doesnt', 'even')",5
2558,"('marking', 'scene')",5
2559,"('get', 'mask')",5
2560,"('doesnt', 'make')",5
2561,"('mmhmm', 'okay')",5
2562,"('heart', 'disease')",5
2563,"('anywhere', 'shes')",5
2564,"('fell', 'ladder')",5
2565,"('sunbury', '43074')",5
2566,"('cheshire', 'road')",5
2567,"('911', 'im')",5
2568,"('franklin', 'street')",5
2569,"('doesnt', 'fever')",5
2570,"('checked', 'okay')",5
2571,"('second', 'time')",5
2572,"('emergency', 'really')",5
2573,"('ok', 'address')",5
2574,"('outside', 'im')",5
2575,"('floor', 'ok')",5
2576,"('head', 'anything')",5
2577,"('right', 'mean')",5
2578,"('mean', 'didnt')",5
2579,"('laying', 'back')",5
2580,"('questions', 'currently')",5
2581,"('hospitalized', 'bedridden')",5
2582,"('really', 'tell')",5
2583,"('well', 'try')",5
2584,"('injuries', 'nothing')",5
2585,"('drink', 'okay')",5
2586,"('lot', 'trouble')",5
2587,"('tell', 'dont')",5
2588,"('problems', 'heart')",5
2589,"('pine', 'ridge')",5
2590,"('im', 'kind')",5
2591,"('alert', 'yeah')",5
2592,"('look', 'good')",5
2593,"('know', 'say')",5
2594,"('around', 'shes')",5
2595,"('anything', 'cant')",5
2596,"('bob', 'bob')",5
2597,"('ago', 'fall')",5
2598,"('dont', 'one')",5
2599,"('yes', 'get')",5
2600,"('still', 'scene')",5
2601,"('name', 'mike')",5
2602,"('shes', 'screaming')",5
2603,"('phone', 'right')",5
2604,"('able', 'wear')",5
2605,"('wear', 'mask')",5
2606,"('sitting', 'like')",5
2607,"('right', 'history')",5
2608,"('hes', 'coming')",5
2609,"('going', 'um')",5
2610,"('mean', 'call')",5
2611,"('honestly', 'dont')",5
2612,"('questions', 'sure')",5
2613,"('head', 'im')",5
2614,"('dont', 'take')",5
2615,"('fine', 'dont')",5
2616,"('pressure', 'dont')",5
2617,"('number', 'yeah')",5
2618,"('okay', 'complaining')",5
2619,"('ahead', 'gather')",5
2620,"('happened', 'dad')",5
2621,"('yeah', 'problems')",5
2622,"('stomach', 'hurts')",5
2623,"('yeah', 'ever')",5
2624,"('cant', 'understand')",5
2625,"('oh', 'good')",5
2626,"('pain', 'ok')",5
2627,"('im', 'ok')",5
2628,"('alright', 'okay')",5
2629,"('please', 'come')",5
2630,"('breathing', 'know')",5
2631,"('youre', 'diabetic')",5
2632,"('im', 'leaving')",5
2633,"('know', 'medications')",5
2634,"('body', 'aches')",5
2635,"('kind', 'car')",5
2636,"('guys', 'separated')",5
2637,"('keep', 'line')",5
2638,"('ok', 'get')",5
2639,"('see', 'happened')",5
2640,"('doors', 'open')",5
2641,"('currently', 'yeah')",5
2642,"('breathing', 'like')",5
2643,"('said', 'already')",5
2644,"('right', 'understand')",5
2645,"('far', 'fell')",5
2646,"('4', '6')",5
2647,"('okay', 'fever')",5
2648,"('symptoms', 'anyone')",5
2649,"('anyone', 'doctors')",5
2650,"('want', 'fall')",5
2651,"('avenue', 'apartment')",5
2652,"('theres', 'way')",5
2653,"('theres', 'couple')",5
2654,"('stuff', 'im')",5
2655,"('like', 'last')",5
2656,"('whats', 'wearing')",5
2657,"('medical', 'attention')",5
2658,"('go', 'questions')",5
2659,"('ambulance', 'okay')",5
2660,"('know', 'weapons')",5
2661,"('questions', 'right')",5
2662,"('hold', 'second')",5
2663,"('8', '9')",5
2664,"('um', 'know')",5
2665,"('2', '5')",5
2666,"('like', 'shit')",5
2667,"('away', 'dont')",5
2668,"('medical', 'wear')",5
2669,"('wear', 'tag')",5
2670,"('way', 'shortly')",5
2671,"('green', 'meadows')",5
2672,"('number', 'uh')",5
2673,"('okay', 'person')",5
2674,"('theres', 'problem')",5
2675,"('put', 'away')",5
2676,"('ok', 'guys')",5
2677,"('congestive', 'heart')",5
2678,"('way', 'give')",5
2679,"('think', 'fell')",5
2680,"('conscious', 'time')",5
2681,"('injured', 'difficulty')",5
2682,"('think', 'thank')",5
2683,"('edge', 'bed')",5
2684,"('well', 'tell')",5
2685,"('youre', 'outside')",5
2686,"('outside', 'apartment')",5
2687,"('see', 'dont')",5
2688,"('head', 'dont')",5
2689,"('name', 'patricia')",5
2690,"('wife', 'uh')",5
2691,"('brain', 'tumor')",5
2692,"('okay', 'recent')",5
2693,"('dont', 'put')",5
2694,"('hear', 'im')",5
2695,"('wan', 'na')",5
2696,"('black', 'hispanic')",5
2697,"('weapons', 'inside')",5
2698,"('went', 'got')",5
2699,"('uh', 'im')",5
2700,"('name', 'yes')",5
2701,"('injuries', 'okay')",5
2702,"('happening', 'yeah')",5
2703,"('everything', 'dont')",5
2704,"('medications', 'takes')",5
2705,"('hey', 'hey')",5
2706,"('right', 'name')",5
2707,"('hes', 'cold')",5
2708,"('shes', 'telling')",5
2709,"('function', 'anymore')",5
2710,"('ok', 'um')",5
2711,"('like', 'officer')",5
2712,"('seems', 'okay')",5
2713,"('gather', 'medics')",5
2714,"('hes', 'ok')",5
2715,"('inside', 'apartment')",5
2716,"('night', 'alright')",5
2717,"('dont', 'care')",5
2718,"('thing', 'know')",5
2719,"('road', 'yeah')",5
2720,"('though', 'right')",5
2721,"('live', 'together')",5
2722,"('anywhere', 'well')",5
2723,"('shit', 'like')",5
2724,"('though', 'okay')",5
2725,"('talk', 'yes')",5
2726,"('retreat', 'lane')",5
2727,"('right', 'bye')",5
2728,"('okay', 'baby')",5
2729,"('bad', 'back')",5
2730,"('doesnt', 'answer')",5
2731,"('heart', 'history')",5
2732,"('long', 'hes')",5
2733,"('whats', 'matter')",5
2734,"('medical', 'conditions')",5
2735,"('right', 'arm')",5
2736,"('standing', 'yes')",5
2737,"('normally', 'hes')",5
2738,"('hes', 'sweating')",5
2739,"('boulder', 'drive')",5
2740,"('took', 'computer')",5
2741,"('though', 'dont')",5
2742,"('yes', 'short')",5
2743,"('positions', 'comfortable')",5
2744,"('wwwzeorangercouk', 'okay')",5
2745,"('days', 'okay')",5
2746,"('okay', 'medical')",5
2747,"('guys', 'talk')",5
2748,"('nasal', 'cannula')",5
2749,"('shes', 'moving')",5
2750,"('know', 'anyone')",5
2751,"('okay', 'listen')",5
2752,"('know', 'cpr')",5
2753,"('hard', 'okay')",5
2754,"('back', 'hurting')",5
2755,"('route', 'shortly')",5
2756,"('knock', 'door')",5
2757,"('africa', 'road')",5
2758,"('breaking', 'stuff')",5
2759,"('4', 'name')",5
2760,"('sure', 'took')",5
2761,"('get', 'clean')",5
2762,"('hes', 'pretty')",5
2763,"('talking', 'doesnt')",5
2764,"('bruce', 'road')",5
2765,"('alright', 'right')",5
2766,"('one', 'four')",5
2767,"('falling', 'okay')",5
2768,"('clark', 'shaw')",5
2769,"('isnt', 'going')",5
2770,"('im', 'nervous')",5
2771,"('thats', 'moving')",5
2772,"('accidental', 'fall')",5
2773,"('adams', 'road')",5
2774,"('call', 'well')",5
2775,"('smile', 'tell')",5
2776,"('tell', 'even')",5
2777,"('well', 'mean')",5
2778,"('four', 'zero')",5
2779,"('front', '80')",5
2780,"('went', 'thats')",5
2781,"('officer', 'going')",5
2782,"('court', 'three')",5
2783,"('dial', '911')",5
2784,"('thing', 'suggest')",5
2785,"('119', 'henderson')",5
2786,"('let', 'look')",5
2787,"('im', 'probably')",5
2788,"('daughter', 'okay')",5
2789,"('ever', 'since')",5
2790,"('hes', 'coherent')",5
2791,"('ok', 'trouble')",5
2792,"('giant', 'eagle')",5
2793,"('court', 'delaware')",5
2794,"('breath', 'right')",5
2795,"('way', 'yes')",5
2796,"('heard', 'say')",5
2797,"('officer', 'okay')",5
2798,"('sitting', 'floor')",5
2799,"('okay', 'exactly')",5
2800,"('im', 'trouble')",5
2801,"('emergency', '249')",5
2802,"('going', 'ok')",5
2803,"('take', 'kids')",5
2804,"('arm', 'hurt')",5
2805,"('blood', 'coming')",5
2806,"('mouth', 'dont')",5
2807,"('sure', 'alright')",5
2808,"('partner', 'already')",5
2809,"('nope', 'okay')",5
2810,"('executive', 'boulevard')",5
2811,"('getting', 'sick')",5
2812,"('comfortable', 'know')",5
2813,"('wont', 'go')",5
2814,"('okay', 'violent')",5
2815,"('today', 'right')",5
2816,"('okay', 'house')",5
2817,"('disconnected', 'name')",5
2818,"('happened', 'think')",5
2819,"('breathing', 'short')",5
2820,"('11979', 'stockwell')",5
2821,"('know', 'fell')",5
2822,"('emergency', 'thank')",5
2823,"('dont', 'split')",5
2824,"('said', 'going')",5
2825,"('moms', 'name')",5
2826,"('like', 'need')",5
2827,"('circle', 'delaware')",5
2828,"('could', 'take')",5
2829,"('emergency', '67')",5
2830,"('medic', 'come')",5
2831,"('hold', 'phone')",5
2832,"('got', 'officer')",5
2833,"('think', 'may')",5
2834,"('panic', 'attack')",5
2835,"('anywhere', 'hes')",5
2836,"('like', 'fell')",5
2837,"('able', 'move')",5
2838,"('diabetic', 'dont')",5
2839,"('location', 'verify')",5
2840,"('last', 'three')",5
2841,"('okay', 'complain')",5
2842,"('dublin', 'road')",5
2843,"('mean', 'know')",5
2844,"('think', 'might')",5
2845,"('head', 'back')",5
2846,"('ok', 'difficulty')",5
2847,"('got', 'one')",5
2848,"('mean', 'ill')",5
2849,"('one', 'another')",5
2850,"('things', 'like')",5
2851,"('medications', 'okay')",5
2852,"('um', 'cant')",5
2853,"('okay', 'ask')",5
2854,"('would', 'appreciate')",5
2855,"('okay', 'wife')",5
2856,"('actually', 'see')",5
2857,"('know', 'could')",5
2858,"('nobody', 'needs')",5
2859,"('wife', 'fallen')",5
2860,"('going', 'leave')",5
2861,"('come', 'speak')",5
2862,"('medic', 'yeah')",5
2863,"('said', 'hit')",5
2864,"('bleeding', 'really')",5
2865,"('hear', 'screaming')",5
2866,"('went', 'hospital')",5
2867,"('drinking', 'anything')",5
2868,"('else', 'eat')",5
2869,"('okay', 'hit')",5
2870,"('like', 'black')",5
2871,"('okay', 'complaints')",5
2872,"('stop', 'okay')",5
2873,"('street', 'whats')",5
2874,"('shit', 'im')",5
2875,"('said', 'partner')",5
2876,"('know', 'guy')",5
2877,"('breath', 'yes')",5
2878,"('okay', 'gon')",5
2879,"('swollen', 'like')",5
2880,"('leg', 'knee')",5
2881,"('still', 'talking')",5
2882,"('trying', 'move')",5
2883,"('okay', 'sounds')",5
2884,"('hurt', 'dont')",5
2885,"('go', 'hes')",5
2886,"('911', 'get')",5
2887,"('6', 'oclock')",5
2888,"('come', 'dont')",5
2889,"('medic', 'questions')",5
2890,"('took', 'temperature')",5
2891,"('245', 'park')",5
2892,"('shit', 'okay')",5
2893,"('could', 'barely')",5
2894,"('diabetic', 'right')",5
2895,"('hurry', 'yep')",5
2896,"('head', 'right')",5
2897,"('idea', 'whats')",5
2898,"('yeah', 'going')",5
2899,"('sound', 'right')",5
2900,"('locked', 'okay')",5
2901,"('yeah', 'covid')",5
2902,"('well', 'route')",5
2903,"('guys', 'want')",5
2904,"('alright', 'get')",5
2905,"('help', 'around')",5
2906,"('get', 'front')",5
2907,"('thank', 'would')",5
2908,"('two', 'months')",5
2909,"('let', 'leave')",5
2910,"('correct', 'whats')",5
2911,"('come', 'breezeway')",5
2912,"('wants', 'go')",5
2913,"('place', 'okay')",5
2914,"('outside', 'right')",5
2915,"('ill', 'recently')",5
2916,"('lower', 'left')",5
2917,"('thats', 'really')",5
2918,"('old', 'approximately')",5
2919,"('yes', 'go')",5
2920,"('um', 'fever')",5
2921,"('recently', 'done')",5
2922,"('like', 'needs')",5
2923,"('well', 'actually')",5
2924,"('else', 'going')",5
2925,"('ever', 'happened')",5
2926,"('good', 'time')",5
2927,"('oh', 'dont')",5
2928,"('thats', 'said')",5
2929,"('thats', 'thats')",5
2930,"('medics', 'right')",5
2931,"('land', 'concrete')",5
2932,"('called', '740')",5
2933,"('right', 'one')",5
2934,"('today', 'shes')",5
2935,"('still', 'yes')",5
2936,"('back', 'dont')",5
2937,"('um', 'need')",5
2938,"('um', 'weve')",5
2939,"('long', 'everything')",5
2940,"('bed', 'right')",5
2941,"('husband', 'hes')",5
2942,"('see', 'third')",5
2943,"('yes', 'room')",5
2944,"('got', 'headed')",5
2945,"('yep', 'bye')",5
2946,"('started', 'coughing')",5
2947,"('okay', 'says')",5
2948,"('guess', 'im')",5
2949,"('address', 'yeah')",5
2950,"('see', 'got')",5
2951,"('gate', 'boulevard')",5
2952,"('please', 'send')",5
2953,"('already', 'way')",5
2954,"('last', 'thing')",5
2955,"('conscious', 'conscious')",5
2956,"('breathing', 'little')",5
2957,"('correct', 'hes')",5
2958,"('ok', 'cant')",5
2959,"('know', 'else')",5
2960,"('tried', 'calling')",5
2961,"('11050', 'fancher')",5
2962,"('fancher', 'road')",5
2963,"('dont', 'get')",5
2964,"('get', 'checked')",5
2965,"('rising', 'falling')",5
2966,"('say', 'shes')",5
2967,"('much', 'problem')",5
2968,"('well', 'since')",5
2969,"('got', 'shes')",5
2970,"('okay', 'besides')",5
2971,"('okay', 'problem')",5
2972,"('didnt', 'feel')",5
2973,"('breath', 'pain')",5
2974,"('pain', 'anything')",5
2975,"('fall', 'fall')",5
2976,"('came', 'theyre')",5
2977,"('chest', 'rising')",5
2978,"('going', 'bathroom')",5
2979,"('female', 'male')",5
2980,"('want', 'okay')",5
2981,"('put', 'something')",5
2982,"('phone', 'name')",5
2983,"('officers', 'come')",5
2984,"('come', 'hes')",5
2985,"('see', 'chest')",5
2986,"('shes', '86')",5
2987,"('doors', 'locked')",5
2988,"('call', 'doctor')",5
2989,"('emergency', '35')",5
2990,"('alright', 'drooling')",5
2991,"('route', 'try')",5
2992,"('medications', 'anything')",5
2993,"('actually', 'called')",5
2994,"('responding', 'hes')",5
2995,"('symptoms', 'know')",5
2996,"('kind', 'symptoms')",5
2997,"('theres', 'something')",5
2998,"('sugar', 'reading')",5
2999,"('room', 'hes')",5
3000,"('got', 'right')",5
3001,"('nurse', 'nurse')",5
3002,"('let', 'ask')",5
3003,"('route', 'right')",5
3004,"('carpet', 'hardwood')",5
3005,"('number', 'right')",5
3006,"('questions', 'get')",5
3007,"('though', 'yes')",5
3008,"('head', 'bleeding')",5
3009,"('say', 'im')",5
3010,"('said', 'fever')",5
3011,"('wait', 'okay')",5
3012,"('tonight', 'yes')",5
3013,"('doesnt', 'think')",5
3014,"('know', 'maybe')",5
3015,"('see', 'right')",5
3016,"('old', 'james')",5
3017,"('fever', 'know')",5
3018,"('whats', 'causing')",5
3019,"('aint', 'got')",5
3020,"('ill', 'tell')",5
3021,"('man', 'okay')",5
3022,"('alright', 'phone')",5
3023,"('injured', 'dont')",5
3024,"('oxygen', 'levels')",5
3025,"('actually', 'hurting')",5
3026,"('good', 'dont')",5
3027,"('would', 'go')",5
3028,"('showing', 'covid')",5
3029,"('first', 'second')",5
3030,"('dont', 'exert')",5
3031,"('bleeding', 'pretty')",5
3032,"('one', 'alright')",5
3033,"('alright', 'covid')",5
3034,"('cant', 'leave')",5
3035,"('busy', 'okay')",5
3036,"('okay', 'hospitalized')",5
3037,"('get', 'needs')",5
3038,"('okay', 'asthma')",5
3039,"('door', 'shes')",5
3040,"('get', 'wheelchair')",5
3041,"('guys', 'need')",5
3042,"('hospital', 'know')",5
3043,"('bad', 'shape')",5
3044,"('youre', 'known')",5
3045,"('ever', 'issue')",5
3046,"('sitting', 'okay')",5
3047,"('mom', 'mom')",5
3048,"('mom', 'okay')",5
3049,"('blood', 'stool')",5
3050,"('hear', 'yeah')",5
3051,"('getting', 'enough')",5
3052,"('home', 'oxygen')",5
3053,"('cant', 'give')",5
3054,"('right', 'medic')",5
3055,"('hang', 'one')",5
3056,"('partner', 'send')",5
3057,"('say', 'something')",5
3058,"('ok', 'oh')",5
3059,"('might', 'want')",5
3060,"('would', 'great')",5
3061,"('work', 'okay')",5
3062,"('someone', 'help')",5
3063,"('time', 'ok')",5
3064,"('222', 'curtis')",5
3065,"('send', 'help')",5
3066,"('help', 'cant')",5
3067,"('hurt', 'know')",5
3068,"('old', 'dont')",5
3069,"('dont', 'emergency')",5
3070,"('home', 'sick')",5
3071,"('hello', 'okay')",5
3072,"('im', 'hard')",5
3073,"('home', 'im')",5
3074,"('calling', 'calling')",5
3075,"('would', 'help')",5
3076,"('name', 'james')",5
3077,"('come', 'house')",5
3078,"('two', 'two')",5
3079,"('please', 'get')",5
3080,"('help', 'dont')",5
3081,"('got', 'dont')",5
3082,"('would', 'call')",5
3083,"('still', 'hear')",5
3084,"('shes', 'already')",5
3085,"('yet', 'yet')",5
3086,"('troy', 'road')",5
3087,"('breathe', 'sitting')",5
3088,"('right', 'normally')",5
3089,"('anything', 'ok')",5
3090,"('got', 'get')",5
3091,"('talk', 'medics')",5
3092,"('want', 'take')",5
3093,"('fell', 'bed')",5
3094,"('go', 'cant')",5
3095,"('dispatch', 'medic')",5
3096,"('trotter', 'circle')",5
3097,"('get', 'put')",5
3098,"('way', 'call')",5
3099,"('door', 'theres')",5
3100,"('thank', 'maam')",5
3101,"('door', 'hes')",5
3102,"('need', 'anything')",5
3103,"('pressure', 'medicine')",5
3104,"('okay', 'theyll')",5
3105,"('ago', 'yeah')",5
3106,"('middle', 'night')",5
3107,"('way', 'help')",5
3108,"('highfield', 'drive')",5
3109,"('going', 'send')",5
3110,"('really', 'sure')",5
3111,"('help', 'guys')",5
3112,"('gotcha', 'okay')",5
3113,"('started', 'medic')",5
3114,"('ok', 'anything')",5
3115,"('um', 'think')",5
3116,"('think', 'took')",5
3117,"('say', 'anything')",5
3118,"('mother', 'shes')",5
3119,"('get', 'injured')",5
3120,"('put', 'medics')",5
3121,"('go', 'somewhere')",5
3122,"('right', 'need')",5
3123,"('shes', 'sick')",5
3124,"('way', 'theyre')",5
3125,"('shes', 'starting')",5
3126,"('please', 'im')",5
3127,"('liberty', 'street')",5
3128,"('minute', 'okay')",5
3129,"('yes', 'conscious')",5
3130,"('thats', 'one')",5
3131,"('sitting', 'tell')",5
3132,"('yep', 'thats')",5
3133,"('dispatching', 'medics')",5
3134,"('like', 'didnt')",5
3135,"('ready', 'leave')",5
3136,"('leave', 'house')",5
3137,"('yes', 'like')",5
3138,"('get', 'come')",5
3139,"('injured', 'way')",5
3140,"('back', 'cant')",5
3141,"('medics', 'coming')",5
3142,"('need', 'count')",5
3143,"('two', 'four')",5
3144,"('really', 'okay')",5
3145,"('b', 'boy')",5
3146,"('sure', 'doesnt')",5
3147,"('get', 'ready')",5
3148,"('move', 'cant')",5
3149,"('okay', 'mmhmm')",5
3150,"('arm', 'okay')",5
3151,"('traveled', 'anywhere')",5
3152,"('shes', 'taking')",5
3153,"('go', 'well')",5
3154,"('like', 'thats')",5
3155,"('emergency', 'ill')",5
3156,"('someone', 'able')",5
3157,"('ahead', 'take')",5
3158,"('phone', 'yeah')",5
3159,"('travel', 'state')",5
3160,"('shes', 'inside')",5
3161,"('list', 'medications')",5
3162,"('ok', 'thanks')",5
3163,"('right', 'long')",5
3164,"('thank', 'hello')",5
3165,"('coming', 'help')",5
3166,"('second', 'whats')",5
3167,"('name', 'betty')",5
3168,"('county', 'sheriffs')",5
3169,"('5881', 'harlem')",5
3170,"('much', 'think')",5
3171,"('shortly', 'ok')",5
3172,"('said', 'go')",5
3173,"('happened', 'one')",5
3174,"('patient', 'right')",5
3175,"('shes', 'little')",5
3176,"('car', 'right')",5
3177,"('breathe', 'trouble')",5
3178,"('week', 'okay')",5
3179,"('south', 'okay')",5
3180,"('respiratory', 'distress')",5
3181,"('youre', 'nurse')",5
3182,"('due', 'injury')",5
3183,"('alright', 'know')",5
3184,"('trying', 'think')",5
3185,"('say', 'dont')",5
3186,"('yeah', 'would')",5
3187,"('saying', 'yeah')",5
3188,"('phone', 'youre')",5
3189,"('okay', 'number')",5
3190,"('state', 'patrol')",5
3191,"('yes', 'ive')",5
3192,"('bathroom', 'fell')",5
3193,"('come', 'talk')",5
3194,"('calling', 'yes')",5
3195,"('911', 'change')",5
3196,"('change', 'emergency')",5
3197,"('hes', 'one')",5
3198,"('one', 'hes')",5
3199,"('hes', 'way')",5
3200,"('okay', 'someone')",5
3201,"('already', 'took')",5
3202,"('okay', 'color')",5
3203,"('yeah', 'sure')",5
3204,"('towards', 'back')",5
3205,"('maybe', 'like')",5
3206,"('yeah', 'understand')",5
3207,"('right', 'ones')",5
3208,"('fire', 'department')",5
3209,"('going', 'dont')",5
3210,"('license', 'plate')",5
3211,"('care', 'unit')",5
3212,"('okay', 'debbie')",5
3213,"('fall', 'dont')",5
3214,"('sat', 'chair')",5
3215,"('going', 'shes')",5
3216,"('yes', 'youre')",5
3217,"('comfort', 'nothing')",5
3218,"('delaware', 'run')",5
3219,"('want', 'see')",5
3220,"('see', 'im')",5
3221,"('apartment', 'okay')",5
3222,"('shes', '88')",5
3223,"('door', 'well')",5
3224,"('im', 'outside')",5
3225,"('want', 'tell')",5
3226,"('conscious', 'shes')",5
3227,"('better', 'shes')",5
3228,"('alright', 'need')",5
3229,"('like', 'covid')",5
3230,"('come', 'yes')",5
3231,"('lot', 'shes')",5
3232,"('today', 'fell')",5
3233,"('west', 'yes')",5
3234,"('feel', 'right')",5
3235,"('mental', 'health')",5
3236,"('broke', 'hip')",5
3237,"('living', 'okay')",5
3238,"('came', 'took')",5
3239,"('medics', 'dont')",5
3240,"('door', 'ill')",5
3241,"('ill', 'make')",5
3242,"('name', 'business')",5
3243,"('sorry', 'sorry')",5
3244,"('ohio', 'health')",5
3245,"('room', 'thank')",5
3246,"('304', 'south')",5
3247,"('thing', 'okay')",5
3248,"('list', 'show')",5
3249,"('drive', 'ok')",5
3250,"('name', 'diane')",5
3251,"('happening', 'right')",5
3252,"('got', 'hes')",5
3253,"('still', 'cant')",4
3254,"('wish', 'could')",4
3255,"('know', 'really')",4
3256,"('want', 'like')",4
3257,"('still', 'inside')",4
3258,"('walking', 'house')",4
3259,"('daughter', 'shes')",4
3260,"('shes', 'done')",4
3261,"('verbal', 'argument')",4
3262,"('old', '85')",4
3263,"('shot', 'okay')",4
3264,"('follow', 'commands')",4
3265,"('thats', 'know')",4
3266,"('sorry', 'old')",4
3267,"('conscious', 'talking')",4
3268,"('stratford', 'road')",4
3269,"('youre', 'sure')",4
3270,"('na', 'talk')",4
3271,"('want', 'speak')",4
3272,"('obviously', 'dont')",4
3273,"('head', 'bare')",4
3274,"('speak', 'officer')",4
3275,"('let', 'take')",4
3276,"('hes', 'area')",4
